id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1406840924122992645,1406714834926723072,2021-06-21 10:36:28 India Standard Time,2021-06-21,10:36:28,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,@the_sangle Congratulations bro 🔥  Super excited for you guys!,en,[],[],[],0,0,4,[],[],https://twitter.com/Shreyans_23/status/1406840924122992645,False,,0,,,,,,,,"[{'screen_name': 'the_sangle', 'name': 'Gaurav', 'id': '993510750097309699'}]",,,,
1406202871419269120,1406202871419269120,2021-06-19 16:21:05 India Standard Time,2021-06-19,16:21:05,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,"Forget coding, networking is where it's at.",en,[],[],[],2,0,20,[],[],https://twitter.com/Shreyans_23/status/1406202871419269120,False,,0,,,,,,,,[],,,,
1405963474543333378,1405698868239650816,2021-06-19 00:29:48 India Standard Time,2021-06-19,00:29:48,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,@FounderEric A social place for college students to learn new skills and network with students!   https://t.co/y4qpTA6N1I,en,[],['http://Bluelearn.in'],[],1,0,7,[],[],https://twitter.com/Shreyans_23/status/1405963474543333378,False,,0,,,,,,,,"[{'screen_name': 'FounderEric', 'name': 'foundereric', 'id': '121135097'}]",,,,
1405215955735646210,1405215955735646210,2021-06-16 22:59:26 India Standard Time,2021-06-16,22:59:26,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,"The hardest part of a startup isn't thinking of an idea or raising funds, it's the legal and accounting aspect of it. Learnt the difference between cumulative and non cumulative preference shares today",en,[],[],[],0,1,29,[],[],https://twitter.com/Shreyans_23/status/1405215955735646210,False,,0,,,,,,,,[],,,,
1405215206385487875,1404853544012980225,2021-06-16 22:56:27 India Standard Time,2021-06-16,22:56:27,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,@sabakarimm 1) Help students learn new skills and network with cool people 2)  https://t.co/fow9m71tIK  3) college/highschool students,en,[],['http://bluelearn.in'],[],0,0,2,[],[],https://twitter.com/Shreyans_23/status/1405215206385487875,False,,0,,,,,,,,"[{'screen_name': 'sabakarimm', 'name': 'Saba Karim', 'id': '41325029'}]",,,,
1405035327958392840,1404764114862231556,2021-06-16 11:01:41 India Standard Time,2021-06-16,11:01:41,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,"@virinchirech Honestly don't know him personally, but his tweet was pretty relatable xD",en,[],[],[],0,0,0,[],[],https://twitter.com/Shreyans_23/status/1405035327958392840,False,,0,,,,,,,,"[{'screen_name': 'virinchirech', 'name': 'Virinchi Recharla', 'id': '3275492359'}]",,,,
1404764114862231556,1404764114862231556,2021-06-15 17:03:58 India Standard Time,2021-06-15,17:03:58,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,Never thought I would end up addicted to Twitter,en,[],[],[],1,0,13,[],[],https://twitter.com/Shreyans_23/status/1404764114862231556,False,https://twitter.com/manan_0308/status/1404466038855454723,0,,,,,,,,[],,,,
1404658318749011972,1404486173121155077,2021-06-15 10:03:35 India Standard Time,2021-06-15,10:03:35,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,"@nitprashant What about college students, referral programs have proven to be very successful",en,[],[],[],0,0,0,[],[],https://twitter.com/Shreyans_23/status/1404658318749011972,False,,0,,,,,,,,"[{'screen_name': 'nitprashant', 'name': 'Prashant Sharma', 'id': '70159197'}]",,,,
1404379409734275080,1404379409734275080,2021-06-14 15:35:18 India Standard Time,2021-06-14,15:35:18,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,Just relived 2017 through snapchat memories,en,[],[],[],0,0,22,[],[],https://twitter.com/Shreyans_23/status/1404379409734275080,False,,0,,,,,,,,[],,,,
1403926293213634562,1403632920254771200,2021-06-13 09:34:46 India Standard Time,2021-06-13,09:34:46,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,@Michael__Grimm @ritendn Very true!,en,[],[],[],0,0,1,[],[],https://twitter.com/Shreyans_23/status/1403926293213634562,False,,0,,,,,,,,"[{'screen_name': 'Michael__Grimm', 'name': 'Michael Grimm', 'id': '74104061'}, {'screen_name': 'ritendn', 'name': 'Riten', 'id': '819252620'}]",,,,
1403646432767184899,1403582990085607427,2021-06-12 15:02:42 India Standard Time,2021-06-12,15:02:42,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,@iamkarthik100 Thanks!,en,[],[],[],0,0,0,[],[],https://twitter.com/Shreyans_23/status/1403646432767184899,False,,0,,,,,,,,"[{'screen_name': 'iamkarthik100', 'name': 'karthik', 'id': '986984987193884672'}]",,,,
1403582990085607427,1403582990085607427,2021-06-12 10:50:36 India Standard Time,2021-06-12,10:50:36,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,"It's funny how 2 weeks before we raised funding, I was looking for internships to do over summer.  The only predictable thing about running a startup is it's unpredictability.",en,[],[],[],1,0,66,[],[],https://twitter.com/Shreyans_23/status/1403582990085607427,False,,0,,,,,,,,[],,,,
1402112138500444163,1402096965752561665,2021-06-08 09:25:58 India Standard Time,2021-06-08,09:25:58,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,@Awantik73363734 Almost there!,en,[],[],[],0,0,0,[],[],https://twitter.com/Shreyans_23/status/1402112138500444163,False,,0,,,,,,,,"[{'screen_name': 'Awantik73363734', 'name': 'Awantika', 'id': '1204405290076114944'}]",,,,
1402096965752561665,1402096965752561665,2021-06-08 08:25:40 India Standard Time,2021-06-08,08:25:40,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,"I think all great founders are also great salesmen. They have to sell their product and vision to customers, investors and the first few employees",en,[],[],[],1,0,25,[],[],https://twitter.com/Shreyans_23/status/1402096965752561665,False,,0,,,,,,,,[],,,,
1401085209420783620,1401085209420783620,2021-06-05 13:25:19 India Standard Time,2021-06-05,13:25:19,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,"Hiring the first few employees is much harder than it looks, the perfect team doesn't just magically appear",en,[],[],[],3,2,69,[],[],https://twitter.com/Shreyans_23/status/1401085209420783620,False,,0,,,,,,,,[],,,,
1399584999712563201,1399362779459452933,2021-06-01 10:04:01 India Standard Time,2021-06-01,10:04:01,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,@trdessai @curiousharish Most relatable thing I've heard in a long time,en,[],[],[],0,0,5,[],[],https://twitter.com/Shreyans_23/status/1399584999712563201,False,,0,,,,,,,,"[{'screen_name': 'trdessai', 'name': 'Tanvi Raut Dessai', 'id': '2582128416'}, {'screen_name': 'curiousharish', 'name': 'Harish Uthayakumar', 'id': '1213353622576123905'}]",,,,
1399043537027567617,1399043537027567617,2021-05-30 22:12:26 India Standard Time,2021-05-30,22:12:26,+0530,829510575092854785,shreyans_23,Shreyans Sancheti,,Deciding what to write as your first tweet is much harder than it looks.,en,[],[],[],6,0,55,[],[],https://twitter.com/Shreyans_23/status/1399043537027567617,False,,0,,,,,,,,[],,,,
